gold_id,latitude,longitude
Go0012119,49.682207,-124.005217
Go0012121,49.682207,-124.005217
Go0012122,49.682207,-124.005217
Go0012123,49.682207,-124.005217
Go0012124,49.682207,-124.005217
Go0012125,49.682207,-124.005217
Go0012157,15.55,114.49
Go0012159,44.4123,8.9264
Go0012220,50.086,14.441
Go0012238,75.006667,-169.993611
Go0012240,41.9,12.48
Go0012241,19,109.5
Go0012291,22.75,-158
Go0012349,22.75,-158
Go0012350,22.75,-158
Go0012376,37.8502,-31.5166
Go0012383,22.75,-158
Go0012384,22.75,-158
Go0012386,22.75,-158
Go0012388,-12.49,-4.99
Go0012389,22.75,-158
Go0012391,22.75,-158
Go0012397,38.356869,-121.98741
Go0012443,38.466376,21.336685
Go0012640,44.37,8.94
Go0012641,31.65,127.1
Go0012642,52.45,13.45
Go0012643,38.9,-77.03
Go0012682,47.6290127,-122.3833493
Go0012735,43.84,-69.64
Go0012737,43.84,-69.64
Go0012738,43.84,-69.64
Go0012739,43.84,-69.64
Go0012740,43.84,-69.64
Go0012741,43.84,-69.64
Go0012742,43.84,-69.64
Go0012743,43.84,-69.64
Go0012744,43.84,-69.64
Go0012763,22.75,-158
Go0012817,34.7261,-76.6477
Go0012819,43.113,-89.42
Go0012824,46.9577,-117.0263
Go0012836,43.34,-89.03
Go0012857,50.732,7.096
Go0012860,34.726186,-76.647763
Go0012862,46.01,-89.7
Go0012884,-12.49,-4.99
Go0012885,-12.49,-4.99
Go0012886,43.84,-69.64
Go0012888,43.84,-69.64
Go0012889,43.84,-69.64
Go0012890,43.84,-69.64
Go0012891,22.75,-158
Go0012892,22.75,-158
Go0012894,43.112,-89.421
Go0012896,22.75,-158
Go0012897,42.205,17.71
Go0012898,42.205,17.71
Go0012899,42.205,17.71
Go0012900,43.84,-69.64
Go0012901,42.205,17.71
Go0012902,42.205,17.71
Go0012903,43.84,-69.64
Go0012904,43.84,-69.64
Go0012905,43.84,-69.64
Go0012908,43.84,-69.64
Go0012909,43.84,-69.64
Go0012910,43.84,-69.64
Go0012911,43.84,-69.64
Go0012912,43.84,-69.64
Go0012913,22.75,-158
Go0012914,42.205,17.71
Go0012915,42.205,17.71
Go0012917,22.75,-158
Go0012918,43.84,-69.64
Go0012919,43.84,-69.64
Go0012921,43.84,-69.64
Go0012930,43.087351,-89.452107
Go0012931,34.726186,-76.647763
Go0012959,50.86529,12.18451
Go0012960,50.86529,12.18451
Go0012961,50.86529,12.18451
Go0012962,50.86529,12.18451
Go0012968,33.99,-118.18
Go0012977,29.533661,34.998221
Go0012979,24.75,121.75
Go0012980,12.0334,-4.400001
Go0012983,38.000356,-119.035349
